# II 18
# graph /home/nfiege/Repositories/hatschet/benchmarks/origami//r2_FFT.graphml
# resourceModel /home/nfiege/Repositories/experiments/trunk/rmIntII/origami//r2_FFT/RM16.xml
# vertex;cycle;fu
x0_re;0;0
x0_im;0;0
x1_re;0;0
x1_im;0;0
x2_re;0;0
x2_im;0;0
x3_re;0;0
x3_im;0;0
x4_re;0;0
x4_im;0;0
x5_re;0;0
x5_im;0;0
x6_re;0;0
x6_im;0;0
x7_re;0;0
x7_im;0;0
x8_re;0;0
x8_im;0;0
x9_re;0;0
x9_im;0;0
x10_re;0;0
x10_im;0;0
x11_re;0;0
x11_im;0;0
x12_re;0;0
x12_im;0;0
x13_re;0;0
x13_im;0;0
x14_re;0;0
x14_im;0;0
x15_re;0;0
x15_im;0;0
y0_re;66;0
y0_im;67;0
y1_re;71;0
y1_im;70;0
y2_re;70;0
y2_im;71;0
y3_re;68;0
y3_im;68;0
y4_re;66;0
y4_im;67;0
y5_re;71;0
y5_im;69;0
y6_re;71;0
y6_im;71;0
y7_re;71;0
y7_im;71;0
y8_re;66;0
y8_im;66;0
y9_re;70;0
y9_im;69;0
y10_re;71;0
y10_im;71;0
y11_re;71;0
y11_im;71;0
y12_re;67;0
y12_im;67;0
y13_re;68;0
y13_im;68;0
y14_re;71;0
y14_im;71;0
Add17;17;0
y15_re;70;0
y15_im;70;0
Add2;2;0
Add11;6;0
Add3;1;0
Add12;1;1
Add4;26;0
Add13;27;0
Add5;16;0
Add14;16;1
Add6;18;0
Add15;18;1
Add7;17;1
Add16;25;0
Add8;18;2
Add27;39;0
Add9;17;2
Add18;26;1
Add10;47;0
Add19;47;1
Add20;41;0
Add110;41;1
Add21;47;2
Add111;48;0
Add22;41;2
Add112;41;3
Add23;9;1
Add113;4;0
Add24;50;0
Add114;50;1
Add25;40;1
Add115;49;0
Add26;32;2
Add116;32;3
Add39;2;1
Add117;41;4
Add28;61;1
Add118;61;2
Add29;61;3
Add119;62;2
Add30;64;0
Add120;66;1
Add31;66;2
Add121;66;3
Add32;65;3
Add122;64;1
Add33;66;4
Add123;64;2
Add34;1;2
Add124;1;3
Add35;63;2
Add125;63;3
Add36;65;4
Add126;57;1
Add37;2;2
Add127;2;3
Add38;1;4
Add128;1;5
Product34;8;0
Subtract5;12;0
Add129;2;4
Add40;2;5
Add130;1;6
Add41;26;3
Add131;26;4
Add42;15;0
Add1;15;1
Add43;21;2
Product4;15;0
Product11;15;1
Product21;17;0
Product31;15;2
Subtract2;19;0
Add44;10;3
Product5;6;0
Product12;6;1
Product22;6;2
Product32;6;3
Subtract3;10;0
Add45;12;5
Product6;8;1
Product13;8;2
Product23;8;3
Product33;9;0
Subtract4;13;0
Add46;16;2
Product7;8;4
Product14;12;0
Product24;12;1
Subtract11;36;0
Add53;27;4
Add47;13;1
Product8;9;1
Product15;9;2
Product25;9;3
Product35;9;4
Subtract6;13;1
Add48;17;3
Product9;8;5
Product16;12;2
Product26;13;0
Product36;8;6
Subtract7;12;1
Add49;12;6
Product10;9;5
Product17;8;7
Product27;8;8
Product37;9;6
Subtract8;13;2
Add50;16;3
Product18;8;9
Product19;12;3
Product28;12;4
Product38;8;10
Subtract9;12;2
Add51;35;4
Product20;38;0
Product110;31;1
Product29;31;2
Product39;38;1
Subtract10;42;0
Add52;25;4
Product30;21;0
Product111;21;1
Product210;20;2
Product310;21;2
Product218;31;3
Product318;32;0
Product40;23;0
Product112;23;1
Product211;23;2
Product311;23;3
Subtract12;27;0
Add54;35;5
Product41;22;0
Product113;31;4
Product212;22;1
Product312;31;5
Subtract13;35;0
Add55;22;2
Product42;15;3
Product114;17;1
Product213;16;0
Product313;15;4
Subtract14;21;0
Add56;44;5
Product43;23;4
Product115;22;2
Product214;32;1
Product314;32;2
Subtract15;36;1
Add57;44;6
Product44;22;3
Product116;32;3
Product215;22;4
Product315;31;6
Subtract16;35;1
Add58;27;5
Product45;23;5
Product117;23;6
Product216;23;7
Product316;23;8
Subtract17;27;1
Add59;36;3
Product46;22;5
Product118;31;7
Product217;22;6
Product317;30;5
Subtract18;34;0
Add60;42;1
Product47;32;4
Product119;32;5
Product57;46;0
Product129;46;1
Product228;46;2
Subtract19;42;1
Add61;36;4
Product48;21;3
Product120;21;4
Product219;21;5
Product319;21;6
Subtract20;36;2
Add62;42;2
Product49;38;3
Product121;38;4
Product220;32;6
Product320;38;5
Subtract21;42;2
Add63;24;3
Product50;21;7
Product122;20;6
Product221;20;7
Product321;20;8
Subtract22;25;0
Add64;42;4
Product51;32;7
Product123;38;9
Product222;32;8
Product322;38;10
Subtract23;42;3
Add65;36;5
Product52;31;8
Product124;30;6
Product223;31;9
Product323;32;9
Subtract24;36;3
Add66;11;5
Product53;6;4
Product125;6;5
Product224;7;0
Product324;6;6
Subtract25;10;1
Add67;27;6
Product54;23;9
Product126;22;7
Product225;23;10
Product325;22;8
Subtract26;27;2
Add68;36;6
Product55;22;9
Product127;31;10
Product226;22;10
Product326;30;7
Subtract27;34;1
Add69;56;6
Product56;52;1
Product128;52;2
Product227;52;3
Product327;52;4
Subtract28;56;0
Add70;50;4
Product69;46;3
Product141;37;0
Product240;37;1
Product340;37;2
Product328;46;4
Subtract29;50;0
Add71;57;3
Product58;52;5
Product130;53;2
Product229;53;3
Product329;53;4
Subtract30;59;0
Add72;51;2
Product59;47;0
Product131;47;1
Product230;47;2
Product330;47;3
Subtract31;51;0
Add73;61;5
Product60;53;5
Product132;54;0
Product231;53;6
Product331;52;6
Subtract32;61;1
Add74;57;4
Product61;47;4
Product133;53;7
Product232;52;7
Product332;47;5
Subtract33;61;2
Add75;59;5
Product62;55;3
Product134;55;4
Product233;55;5
Product333;55;6
Subtract34;59;1
Add76;59;6
Product63;53;8
Product135;54;1
Product234;47;6
Product334;54;2
Subtract35;58;0
Add77;21;5
Product64;7;1
Product136;17;9
Product235;15;5
Product335;15;6
Subtract36;21;1
Add78;57;6
Product65;52;8
Product137;53;10
Product236;52;9
Product336;52;10
Subtract37;56;1
Add79;50;5
Product66;46;5
Product138;46;6
Product237;46;7
Product337;46;8
Subtract38;50;1
Add80;58;3
Product67;47;7
Product139;54;3
Product238;54;4
Product338;54;5
Subtract39;58;1
Add81;58;4
Product68;54;6
Product140;54;7
Product239;54;8
Product339;54;9
Subtract40;58;2
Add82;50;6
Subtract128;62;0
Subtract69;64;2
Subtract129;62;1
Subtract70;66;3
Subtract130;66;4
Subtract41;58;3
Add83;58;5
Product70;46;9
Product142;54;10
Product241;47;8
Product341;46;10
Subtract42;58;4
Add84;42;5
Product71;37;7
Product143;37;8
Product242;37;9
Product342;37;10
Subtract43;51;1
Add85;52;4
Product72;47;9
Product144;48;8
Product243;48;9
Product343;47;10
Subtract44;51;2
Add86;10;4
Product73;6;7
Product145;6;8
Product244;6;9
Product344;6;10
Subtract45;10;3
Add87;22;6
Product74;7;2
Product146;15;7
Product245;15;8
Product345;7;3
Subtract46;11;0
Add88;11;6
Product75;7;4
Product147;7;5
Product246;7;6
Product346;7;7
Subtract47;11;1
Add89;13;2
Product76;9;7
Product148;9;8
Product247;9;9
Product347;9;10
