# II 23
# graph /home/nfiege/Repositories/hatschet/benchmarks/origami//r2_FFT.graphml
# resourceModel /home/nfiege/Repositories/experiments/trunk/rmIntII/origami//r2_FFT/RM12.xml
# vertex;cycle;fu
x0_re;0;0
x0_im;0;0
x1_re;0;0
x1_im;0;0
x2_re;0;0
x2_im;0;0
x3_re;0;0
x3_im;0;0
x4_re;0;0
x4_im;0;0
x5_re;0;0
x5_im;0;0
x6_re;0;0
x6_im;0;0
x7_re;0;0
x7_im;0;0
x8_re;0;0
x8_im;0;0
x9_re;0;0
x9_im;0;0
x10_re;0;0
x10_im;0;0
x11_re;0;0
x11_im;0;0
x12_re;0;0
x12_im;0;0
x13_re;0;0
x13_im;0;0
x14_re;0;0
x14_im;0;0
x15_re;0;0
x15_im;0;0
y0_re;97;0
y0_im;82;0
y1_re;98;0
y1_im;98;0
y2_re;96;0
y2_im;89;0
y3_re;77;0
y3_im;78;0
y4_re;97;0
y4_im;97;0
y5_re;98;0
y5_im;98;0
y6_re;95;0
y6_im;99;0
y7_re;78;0
y7_im;77;0
y8_re;97;0
y8_im;80;0
y9_re;98;0
y9_im;98;0
y10_re;95;0
y10_im;89;0
y11_re;77;0
y11_im;99;0
y12_re;97;0
y12_im;97;0
y13_re;99;0
y13_im;98;0
y14_re;95;0
y14_im;99;0
Add17;22;0
y15_re;82;0
y15_im;84;0
Add2;1;0
Add11;3;0
Add3;2;0
Add12;2;1
Add4;37;0
Add13;41;0
Add5;38;0
Add14;20;0
Add6;18;1
Add15;18;2
Add7;20;1
Add16;17;0
Add8;22;1
Add27;57;0
Add9;42;0
Add18;22;2
Add10;60;1
Add19;58;0
Add20;59;0
Add110;59;1
Add21;57;1
Add111;57;2
Add22;53;0
Add112;53;1
Add23;5;0
Add113;4;0
Add24;56;0
Add114;56;1
Add25;56;2
Add115;56;3
Add26;58;1
Add116;58;2
Add39;4;1
Add117;36;2
Add28;92;0
Add118;77;0
Add29;92;1
Add119;92;2
Add30;78;0
Add120;84;1
Add31;90;0
Add121;90;1
Add32;93;1
Add122;93;2
Add33;93;3
Add123;93;4
Add34;6;0
Add124;6;1
Add35;72;1
Add125;73;2
Add36;73;3
Add126;72;2
Add37;3;3
Add127;3;4
Add38;2;2
Add128;16;0
Product34;12;0
Subtract5;17;0
Add129;4;4
Add40;6;2
Add130;6;3
Add41;22;3
Add131;19;1
Add42;39;1
Add1;39;2
Add43;14;2
Product4;6;0
Product11;10;0
Product21;6;1
Product31;8;0
Subtract2;14;0
Add44;11;3
Product5;7;0
Product12;7;1
Product22;7;2
Product32;7;3
Subtract3;11;0
Add45;15;2
Product6;10;1
Product13;10;2
Product23;11;0
Product33;10;3
Subtract4;14;1
Add46;17;1
Product7;13;0
Product14;12;1
Product24;13;1
Subtract11;53;0
Add53;28;1
Add47;13;3
Product8;9;0
Product15;9;1
Product25;9;2
Product35;8;1
Subtract6;13;0
Add48;12;3
Product9;7;4
Product16;8;2
Product26;7;5
Product36;8;3
Subtract7;12;0
Add49;16;3
Product10;10;4
Product17;10;5
Product27;12;2
Product37;10;6
Subtract8;14;2
Add50;17;2
Product18;9;3
Product19;13;2
Product28;7;6
Product38;13;3
Subtract9;17;1
Add51;32;1
Product20;28;0
Product110;24;0
Product29;28;1
Product39;24;1
Subtract10;55;0
Add52;54;1
Product30;49;0
Product111;44;0
Product210;45;0
Product310;44;1
Product218;45;1
Product318;46;0
Product40;23;1
Product112;23;2
Product211;24;2
Product311;28;2
Subtract12;51;0
Add54;51;2
Product41;46;3
Product113;47;3
Product212;45;2
Product312;24;4
Subtract13;51;1
Add55;17;3
Product42;13;4
Product114;9;4
Product213;13;5
Product313;13;6
Subtract14;17;2
Add56;51;3
Product43;28;3
Product115;47;5
Product214;27;0
Product314;27;1
Subtract15;32;1
Add57;51;4
Product44;47;6
Product116;28;4
Product215;47;7
Product315;28;5
Subtract16;51;2
Add58;53;2
Product45;45;3
Product117;25;0
Product216;43;0
Product316;26;1
Subtract17;53;1
Add59;31;2
Product46;25;1
Product118;26;2
Product217;24;8
Product317;25;2
Subtract18;30;2
Add60;53;3
Product47;46;4
Product119;46;5
Product57;83;0
Product129;64;0
Product228;64;1
Subtract19;55;2
Add61;54;3
Product48;45;4
Product120;26;3
Product219;45;5
Product319;26;4
Subtract20;54;0
Add62;32;2
Product49;44;2
Product121;27;2
Product220;27;3
Product320;25;3
Subtract21;52;0
Add63;48;3
Product50;44;3
Product122;44;4
Product221;44;5
Product321;44;6
Subtract22;48;0
Add64;52;4
Product51;28;6
Product123;48;4
Product222;28;7
Product322;48;5
Subtract23;52;1
Add65;48;4
Product52;25;6
Product124;27;4
Product223;27;5
Product323;25;7
Subtract24;29;2
Add66;15;3
Product53;11;1
Product125;11;2
Product224;11;3
Product324;11;4
Subtract25;15;0
Add67;53;4
Product54;26;5
Product126;26;6
Product225;43;1
Product325;26;7
Subtract26;31;1
Add68;31;4
Product55;48;8
Product127;27;6
Product226;27;7
Product326;46;6
Subtract27;52;3
Add69;69;3
Product56;65;0
Product128;65;1
Product227;65;2
Product327;65;3
Subtract28;69;0
Add70;68;4
Product69;63;0
Product141;63;1
Product240;63;2
Product340;63;3
Product328;69;7
Subtract29;87;0
Add71;66;2
Product58;65;4
Product130;62;0
Product229;62;1
Product329;65;5
Subtract30;69;1
Add72;79;4
Product59;58;3
Product131;67;7
Product230;62;2
Product330;58;4
Subtract31;62;0
Add73;85;4
Product60;62;3
Product132;81;5
Product231;65;6
Product331;65;7
Subtract32;85;1
Add74;66;3
Product61;81;6
Product133;58;7
Product232;62;4
Product332;58;8
Subtract33;85;2
Add75;69;4
Product62;64;2
Product134;61;0
Product233;61;1
Product333;67;8
Subtract34;88;0
Add76;88;2
Product63;61;2
Product135;73;8
Product234;72;8
Product334;61;3
Subtract35;65;1
Add77;14;3
Product64;8;4
Product136;10;7
Product235;10;8
Product335;8;5
Subtract36;14;3
Add78;87;3
Product65;83;1
Product137;83;2
Product236;83;3
Product336;83;4
Subtract37;87;1
Add79;87;4
Product66;83;5
Product138;83;6
Product237;83;7
Product337;83;8
Subtract38;87;2
Add80;88;3
Product67;61;4
Product139;61;5
Product238;64;3
Product338;64;4
Subtract39;88;2
Add81;88;4
Product68;61;6
Product140;61;7
Product239;74;8
Product339;61;8
Subtract40;65;3
Add82;67;2
Subtract128;92;2
Subtract69;90;0
Subtract129;84;1
Subtract70;90;1
Subtract130;94;1
Subtract41;67;2
Add83;66;4
Product70;62;5
Product142;62;6
Product241;62;7
Product341;62;8
Subtract42;66;0
Add84;67;3
Product71;64;5
Product143;63;4
Product242;63;5
Product342;64;6
Subtract43;68;0
Add85;67;4
Product72;63;6
Product144;41;7
Product243;63;7
Product343;41;8
Subtract44;67;3
Add86;34;4
Product73;7;7
Product145;29;2
Product244;7;8
Product344;29;3
Subtract45;34;1
Add87;17;4
Product74;9;5
Product146;13;7
Product245;9;6
Product345;13;8
Subtract46;17;3
Add88;15;4
Product75;11;5
Product147;11;6
Product246;11;7
Product346;11;8
Subtract47;15;2
Add89;13;4
Product76;6;4
Product148;9;7
Product247;8;6
Product347;9;8
