# II 11
# graph /home/nfiege/Repositories/hatschet/benchmarks/origami//mat_inv.graphml
# resourceModel /home/nfiege/Repositories/experiments/trunk/rmIntII/origami//mat_inv/RM18.xml
# vertex;cycle;fu
Ldiff_UU_del_1;0;0
Ldiff_UV_del_1;0;0
Ldiff_UW_del_1;0;0
Ldiff_VU_del_1;0;0
Ldiff_VV_del_1;0;0
Ldiff_VW_del_1;0;0
Ldiff_WU_del_1;0;0
Ldiff_WV_del_1;0;0
Ldiff_WW_del_1;0;0
R_U;0;0
R_V;0;0
R_W;0;0
Product108;121;0
Product110;121;1
Product109;121;2
Product111;121;3
Product210;121;4
Product310;121;5
Product410;121;6
Product510;121;7
Product610;121;8
Product710;121;9
Product810;121;10
Product910;121;11
Inv_11;125;0
Inv_12;125;0
Inv_13;125;0
Inv_21;125;0
Inv_22;125;0
Inv_23;125;0
Inv_31;125;0
Inv_32;125;0
Inv_33;125;0
Inv_41;125;0
Inv_42;125;0
Inv_43;125;0
Add30;20;0
Add110;35;0
Add101;13;1
Add111;24;2
Add121;10;0
Add131;29;0
Add141;10;1
Add151;28;0
Add16;14;0
Add17;25;1
Add18;19;0
Add19;29;1
Add210;13;3
Add20;44;0
Add21;53;1
Add22;14;2
Add23;19;1
Add24;31;2
Add25;39;1
Add26;11;1
Add27;19;2
Add28;30;3
Add29;37;0
Add31;34;0
Add41;11;2
Add51;21;2
Product114;10;0
Add61;15;1
Add71;28;2
Add81;18;2
Add91;29;3
Product112;2;0
Product113;9;0
Product1010;2;1
Product100;1;0
Product101;3;0
Product102;29;0
Product103;9;1
Product104;18;1
Product105;15;0
Product106;7;2
Product107;7;3
Product291;10;1
Product121;4;1
Product131;8;0
Product141;1;1
Product151;7;4
Product161;3;1
Product171;1;2
Product181;3;2
Product191;2;2
Product211;2;3
Product201;10;2
Product212;7;5
Product221;7;6
Product231;6;0
Product241;2;4
Product251;5;0
Product261;6;1
Product271;4;2
Product281;8;1
Product501;1;3
Product311;9;2
Product301;10;3
Product312;11;12
Product321;3;3
Product331;2;5
Product341;6;2
Product351;6;3
Product361;9;3
Product371;8;2
Product381;13;6
Product391;10;4
Product411;6;4
Product401;3;4
Product412;3;5
Product421;1;4
Product431;4;3
Product441;10;5
Product451;7;7
Product461;5;1
Product471;8;3
Product481;6;5
Product491;3;6
Product511;10;6
Product78;26;4
Product79;18;8
Product512;2;7
Product521;10;7
Product531;8;4
Product54;5;2
Product55;6;6
Product56;9;4
Product57;5;3
Product58;1;5
Product59;2;8
Product611;4;5
Product60;13;9
Product61;9;5
Product62;5;4
Product63;6;7
Product64;1;6
Product65;1;7
Product66;6;8
Product67;5;5
Product68;5;6
Product69;6;9
Product711;10;8
Product70;10;9
Product71;10;10
Product72;16;7
Product73;11;13
Product74;1;8
Product75;5;8
Product76;10;11
Product77;3;7
Add4;42;3
Add112;27;0
Add10;77;3
Product811;2;10
Product80;6;10
Product81;9;6
Product82;15;6
Product83;7;9
Product84;11;14
Product85;11;15
Product86;2;11
Product87;10;12
Product88;2;12
Product89;3;8
Product911;6;11
Product90;18;10
Product91;17;12
Product92;9;7
Product93;15;7
Product94;9;8
Product95;8;5
Product96;20;9
Product97;4;8
Product98;10;13
Product99;11;16
Subtract12;29;0
Subtract1;21;0
Subtract10;24;0
Subtract11;25;0
Subtract2;16;0
Subtract3;20;0
Subtract4;23;0
Subtract5;19;0
Subtract6;15;0
Subtract7;21;1
Subtract8;20;1
Subtract9;38;1
Add32;22;4
Product35;13;13
Product36;2;14
Add11;82;1
Add12;87;3
Add13;92;2
Add14;97;4
Add15;102;3
Add211;32;4
Add3;37;3
Add5;47;4
Add6;52;4
Add7;57;4
Add8;67;1
Add9;72;3
Constant1;0;0
Divide;107;0
Product115;15;9
Product116;20;10
Product10;14;9
Product11;18;11
Product12;14;10
Product13;27;9
Product14;38;10
Product15;2;15
Product16;7;12
Product17;16;11
Product18;14;11
Product19;18;13
Product213;26;10
Product20;26;11
Product21;14;12
Product22;18;14
Product23;28;13
Product24;1;9
Product25;6;14
Product26;15;12
Product27;13;16
Product28;20;11
Product29;30;6
Product3;15;13
Product30;10;14
Product31;15;14
Product32;19;7
Product33;4;15
Product34;9;12
Product37;6;15
Product38;16;12
Product39;3;13
Product4;20;13
Product40;7;15
Product41;19;8
Product42;1;10
Product43;5;13
Product44;15;16
Product45;1;11
Product46;5;14
Product47;9;14
Product48;10;15
Product49;14;14
Product5;30;9
Product50;18;16
Product51;1;12
Product52;5;15
Product53;9;15
Product6;1;13
Product7;5;16
Product8;9;16
Product9;10;16
Subtract;62;1
Add;5;2
Add1;5;3
Add2;5;4
Constant;0;0
Product;1;14
Product1;1;15
Product2;1;16
