# II 10
# graph /home/nfiege/Repositories/hatschet/benchmarks/origami//mat_inv.graphml
# resourceModel /home/nfiege/Repositories/experiments/trunk/rmIntII/origami//mat_inv/RM19.xml
# vertex;cycle;fu
Ldiff_UU_del_1;0;0
Ldiff_UV_del_1;0;0
Ldiff_UW_del_1;0;0
Ldiff_VU_del_1;0;0
Ldiff_VV_del_1;0;0
Ldiff_VW_del_1;0;0
Ldiff_WU_del_1;0;0
Ldiff_WV_del_1;0;0
Ldiff_WW_del_1;0;0
R_U;0;0
R_V;0;0
R_W;0;0
Product108;122;0
Product110;122;1
Product109;122;2
Product111;122;3
Product210;122;4
Product310;122;5
Product410;122;6
Product510;122;7
Product610;122;8
Product710;122;9
Product810;122;10
Product910;122;11
Inv_11;126;0
Inv_12;126;0
Inv_13;126;0
Inv_21;126;0
Inv_22;126;0
Inv_23;126;0
Inv_31;126;0
Inv_32;126;0
Inv_33;126;0
Inv_41;126;0
Inv_42;126;0
Inv_43;126;0
Add30;26;0
Add110;109;0
Add101;101;0
Add111;116;1
Add121;87;0
Add131;110;0
Add141;19;1
Add151;114;0
Add16;24;1
Add17;39;2
Add18;20;1
Add19;30;2
Add210;104;2
Add20;41;1
Add21;46;2
Add22;14;3
Add23;21;2
Add24;34;4
Add25;39;3
Add26;13;0
Add27;98;0
Add28;109;4
Add29;115;0
Add31;116;3
Add41;11;3
Add51;110;3
Product114;100;0
Add61;21;4
Add71;116;4
Add81;20;4
Add91;115;1
Product112;2;12
Product113;7;0
Product1010;5;0
Product100;1;0
Product101;1;1
Product102;107;1
Product103;8;0
Product104;19;0
Product105;14;0
Product106;9;1
Product107;5;1
Product291;12;13
Product121;1;2
Product131;8;1
Product141;4;1
Product151;9;2
Product161;7;2
Product171;1;3
Product181;1;4
Product191;3;0
Product211;3;1
Product201;14;2
Product212;6;0
Product221;5;2
Product231;14;3
Product241;1;5
Product251;4;4
Product261;1;6
Product271;5;3
Product281;8;2
Product501;3;2
Product311;9;3
Product301;6;1
Product312;17;3
Product321;3;3
Product331;3;4
Product341;5;4
Product351;5;5
Product361;9;4
Product371;8;3
Product381;10;1
Product391;14;5
Product411;1;7
Product401;5;6
Product412;7;4
Product421;1;8
Product431;1;9
Product441;19;5
Product451;14;6
Product461;6;2
Product471;7;5
Product481;6;3
Product491;6;4
Product511;19;6
Product78;39;7
Product79;19;8
Product512;1;10
Product521;99;9
Product531;10;2
Product54;7;6
Product55;7;7
Product56;7;8
Product57;3;5
Product58;3;6
Product59;5;7
Product611;6;5
Product60;19;10
Product61;9;11
Product62;7;9
Product63;9;12
Product64;8;4
Product65;3;7
Product66;5;8
Product67;7;10
Product68;16;6
Product69;8;5
Product711;19;13
Product70;10;3
Product71;15;9
Product72;15;10
Product73;10;4
Product74;5;11
Product75;10;5
Product76;12;14
Product77;2;15
Add4;42;0
Add112;27;1
Add10;78;1
Product811;4;7
Product80;18;6
Product81;20;6
Product82;16;7
Product83;15;12
Product84;20;7
Product85;20;8
Product86;1;11
Product87;13;8
Product88;3;9
Product89;3;10
Product911;8;7
Product90;26;8
Product91;27;11
Product92;14;8
Product93;17;12
Product94;10;9
Product95;8;8
Product96;100;10
Product97;3;11
Product98;14;9
Product99;10;11
Subtract12;101;0
Subtract1;109;0
Subtract10;26;0
Subtract11;103;0
Subtract2;18;0
Subtract3;107;0
Subtract4;28;1
Subtract5;107;1
Subtract6;96;1
Subtract7;29;1
Subtract8;34;0
Subtract9;35;0
Add32;22;1
Product35;43;12
Product36;2;16
Add11;83;1
Add12;88;2
Add13;93;2
Add14;98;3
Add15;103;3
Add211;32;2
Add3;37;2
Add5;47;3
Add6;52;3
Add7;57;4
Add8;68;4
Add9;73;4
Constant1;0;0
Divide;108;0
Product115;15;13
Product116;89;14
Product10;14;10
Product11;78;9
Product12;60;12
Product13;68;10
Product14;73;13
Product15;5;14
Product16;9;15
Product17;66;9
Product18;10;13
Product19;15;15
Product213;96;10
Product20;19;16
Product21;14;11
Product22;18;11
Product23;24;12
Product24;1;12
Product25;5;16
Product26;17;13
Product27;10;14
Product28;14;13
Product29;48;12
Product3;10;15
Product30;15;17
Product31;39;17
Product32;44;14
Product33;2;17
Product34;8;13
Product37;8;14
Product38;37;14
Product39;3;14
Product4;14;15
Product40;7;15
Product41;16;11
Product42;1;13
Product43;6;12
Product44;16;13
Product45;3;15
Product46;8;15
Product47;13;16
Product48;10;16
Product49;14;16
Product5;88;16
Product50;18;17
Product51;3;17
Product52;7;16
Product53;16;14
Product6;1;14
Product7;6;15
Product8;86;16
Product9;10;17
Subtract;63;1
Add;5;2
Add1;5;3
Add2;5;4
Constant;0;0
Product;1;15
Product1;1;16
Product2;1;17
