# II 30
# graph /home/nfiege/Repositories/hatschet/benchmarks/origami//mat_inv.graphml
# resourceModel /home/nfiege/Repositories/experiments/trunk/rmIntII/origami//mat_inv/RM7.xml
# vertex;cycle;fu
Ldiff_UU_del_1;0;0
Ldiff_UV_del_1;0;0
Ldiff_UW_del_1;0;0
Ldiff_VU_del_1;0;0
Ldiff_VV_del_1;0;0
Ldiff_VW_del_1;0;0
Ldiff_WU_del_1;0;0
Ldiff_WV_del_1;0;0
Ldiff_WW_del_1;0;0
R_U;0;0
R_V;0;0
R_W;0;0
Product108;122;0
Product110;123;0
Product109;123;1
Product111;123;2
Product210;122;1
Product310;123;3
Product410;123;4
Product510;122;2
Product610;122;3
Product710;122;4
Product810;123;5
Product910;122;5
Inv_11;126;0
Inv_12;127;0
Inv_13;126;0
Inv_21;127;0
Inv_22;127;0
Inv_23;126;0
Inv_31;126;0
Inv_32;126;0
Inv_33;127;0
Inv_41;126;0
Inv_42;127;0
Inv_43;127;0
Add30;59;0
Add110;91;0
Add101;44;0
Add111;109;0
Add121;20;0
Add131;96;0
Add141;29;1
Add151;63;0
Add16;60;0
Add17;111;0
Add18;40;0
Add19;46;0
Add210;19;1
Add20;105;0
Add21;113;0
Add22;25;0
Add23;47;0
Add24;85;1
Add25;98;0
Add26;26;0
Add27;31;1
Add28;54;0
Add29;71;0
Add31;100;1
Add41;28;0
Add51;75;1
Product114;22;0
Add61;90;1
Add71;111;1
Add81;24;1
Add91;106;1
Product112;9;0
Product113;14;0
Product1010;8;0
Product100;9;1
Product101;13;0
Product102;27;0
Product103;29;0
Product104;25;0
Product105;27;1
Product106;13;1
Product107;21;0
Product291;76;0
Product121;7;0
Product131;11;0
Product141;6;0
Product151;15;0
Product161;13;2
Product171;6;1
Product181;8;1
Product191;18;0
Product211;30;0
Product201;50;0
Product212;12;0
Product221;13;3
Product231;25;1
Product241;24;0
Product251;24;1
Product261;9;2
Product271;8;2
Product281;29;1
Product501;5;0
Product311;60;1
Product301;25;2
Product312;27;2
Product321;29;2
Product331;12;1
Product341;8;3
Product351;11;1
Product361;40;0
Product371;16;1
Product381;16;2
Product391;20;1
Product411;9;3
Product401;15;1
Product412;4;0
Product421;4;1
Product431;1;0
Product441;23;0
Product451;9;4
Product461;37;1
Product471;10;1
Product481;7;2
Product491;12;2
Product511;19;0
Product78;24;2
Product79;82;1
Product512;7;3
Product521;23;1
Product531;19;1
Product54;16;3
Product55;15;2
Product56;11;2
Product57;6;2
Product58;8;4
Product59;5;1
Product611;1;1
Product60;25;3
Product61;13;4
Product62;22;2
Product63;13;5
Product64;5;2
Product65;7;4
Product66;11;3
Product67;16;4
Product68;19;2
Product69;19;3
Product711;30;2
Product70;24;3
Product71;28;0
Product72;18;1
Product73;23;2
Product74;1;2
Product75;17;0
Product76;24;4
Product77;12;3
Add4;42;0
Add112;27;0
Add10;78;0
Product811;4;2
Product80;27;3
Product81;21;1
Product82;30;3
Product83;29;3
Product84;40;2
Product85;30;4
Product86;19;4
Product87;25;4
Product88;16;5
Product89;5;3
Product911;20;2
Product90;53;3
Product91;48;2
Product92;44;1
Product93;29;4
Product94;21;2
Product95;20;3
Product96;15;3
Product97;5;4
Product98;19;5
Product99;17;1
Subtract12;67;0
Subtract1;89;0
Subtract10;73;0
Subtract11;40;0
Subtract2;54;0
Subtract3;96;0
Subtract4;88;0
Subtract5;52;0
Subtract6;27;0
Subtract7;55;0
Subtract8;80;0
Subtract9;51;0
Add32;22;0
Product35;22;3
Product36;6;3
Add11;83;1
Add12;88;1
Add13;93;1
Add14;98;1
Add15;103;0
Add211;32;0
Add3;37;0
Add5;47;1
Add6;52;1
Add7;57;1
Add8;67;1
Add9;72;1
Constant1;0;0
Divide;108;0
Product115;15;4
Product116;66;4
Product10;27;4
Product11;75;5
Product12;21;3
Product13;25;5
Product14;56;0
Product15;8;5
Product16;14;2
Product17;28;1
Product18;30;5
Product19;42;4
Product213;77;2
Product20;56;1
Product21;26;2
Product22;47;3
Product23;56;3
Product24;6;5
Product25;10;3
Product26;28;2
Product27;23;4
Product28;28;3
Product29;52;4
Product3;18;3
Product30;20;4
Product31;26;4
Product32;44;3
Product33;5;5
Product34;11;4
Product37;20;5
Product38;28;4
Product39;12;5
Product4;23;5
Product40;21;4
Product41;27;5
Product42;9;5
Product43;17;4
Product44;22;5
Product45;4;3
Product46;10;4
Product47;14;4
Product48;10;5
Product49;14;5
Product5;29;5
Product50;18;4
Product51;1;3
Product52;7;5
Product53;11;5
Product6;17;5
Product7;21;5
Product8;28;5
Product9;18;5
Subtract;62;0
Add;9;0
Add1;5;0
Add2;5;1
Constant;0;0
Product;4;4
Product1;1;4
Product2;1;5
