# II 1
# graph /home/nfiege/Repositories/hatschet/benchmarks/origami//fir_SAM.graphml
# resourceModel /home/nfiege/Repositories/experiments/trunk/rmIntII/origami//fir_SAM/RM15.xml
# vertex;cycle;fu
Constant10;0;0
Constant11;0;0
X;0;0
Constant;0;0
Constant1;0;0
Constant12;0;0
Constant13;0;0
Constant14;0;0
Constant15;0;0
Constant16;0;0
Constant17;0;0
Constant18;0;0
Constant19;0;0
Constant2;0;0
Constant20;0;0
Constant21;0;0
Constant22;0;0
Constant23;0;0
Constant24;0;0
Constant25;0;0
Constant29;0;0
Constant3;0;0
Constant32;0;0
Constant33;0;0
Constant34;0;0
Constant4;0;0
Constant5;0;0
Constant6;0;0
Constant7;0;0
Constant8;0;0
Constant9;0;0
Product;6;0
Product1;5;1
Product10;5;2
Product11;5;3
Product12;5;4
Product13;5;5
Product14;5;6
Product15;5;7
Product16;5;8
Product17;5;9
Product18;5;10
Product19;5;11
Product2;5;12
Product20;5;13
Product21;5;14
Product22;5;15
Product23;5;16
Product24;5;17
Product25;5;18
Product29;5;19
Product3;5;20
Product32;5;21
Product33;5;22
Product34;5;23
Product4;5;24
Product5;5;25
Product6;5;26
Product7;5;27
Product8;5;28
Product9;5;29
Sum10;0;0
Sum25;0;1
Sum11;0;2
Sum12;0;3
Sum13;0;4
Sum14;0;5
Sum15;0;6
Sum16;0;7
Sum17;0;8
Sum18;0;9
Sum19;0;10
Sum2;0;11
Sum20;0;12
Sum21;0;13
Sum22;0;14
Sum23;0;15
Sum24;0;16
Sum1Tree4;30;17
Sum26;0;18
Sum27;0;19
Sum28;0;20
Sum29;0;21
Sum3;0;22
Sum30;0;23
Sum31;0;24
Sum4;0;25
Sum5;0;26
Sum6;0;27
Sum7;1;28
Sum8;0;29
Sum9;0;30
Y;155;0
Sum1Tree0;10;31
Sum1Tree1;15;32
Sum1Tree2;20;33
Sum1Tree3;25;34
Sum1Tree28;150;35
Sum1Tree5;35;36
Sum1Tree6;40;37
Sum1Tree7;45;38
Sum1Tree8;50;39
Sum1Tree9;55;40
Sum1Tree10;60;41
Sum1Tree11;65;42
Sum1Tree12;70;43
Sum1Tree13;75;44
Sum1Tree14;80;45
Sum1Tree15;85;46
Sum1Tree16;90;47
Sum1Tree17;95;48
Sum1Tree18;100;49
Sum1Tree19;105;50
Sum1Tree20;110;51
Sum1Tree21;115;52
Sum1Tree22;120;53
Sum1Tree23;125;54
Sum1Tree24;130;55
Sum1Tree25;135;56
Sum1Tree26;140;57
Sum1Tree27;145;58
