# II 3
# graph /home/nfiege/Repositories/hatschet/benchmarks/origami//fir_SAM.graphml
# resourceModel /home/nfiege/Repositories/experiments/trunk/rmIntII/origami//fir_SAM/RM13.xml
# vertex;cycle;fu
Constant10;0;0
Constant11;0;0
X;0;0
Constant;0;0
Constant1;0;0
Constant12;0;0
Constant13;0;0
Constant14;0;0
Constant15;0;0
Constant16;0;0
Constant17;0;0
Constant18;0;0
Constant19;0;0
Constant2;0;0
Constant20;0;0
Constant21;0;0
Constant22;0;0
Constant23;0;0
Constant24;0;0
Constant25;0;0
Constant29;0;0
Constant3;0;0
Constant32;0;0
Constant33;0;0
Constant34;0;0
Constant4;0;0
Constant5;0;0
Constant6;0;0
Constant7;0;0
Constant8;0;0
Constant9;0;0
Product;6;0
Product1;5;0
Product10;10;0
Product11;10;1
Product12;10;2
Product13;9;1
Product14;9;2
Product15;9;3
Product16;9;4
Product17;9;5
Product18;11;1
Product19;9;6
Product2;5;2
Product20;10;3
Product21;9;7
Product22;11;3
Product23;11;4
Product24;10;4
Product25;11;5
Product29;9;8
Product3;11;6
Product32;11;7
Product33;11;8
Product34;10;5
Product4;9;9
Product5;11;9
Product6;10;6
Product7;10;7
Product8;10;8
Product9;10;9
Sum10;2;0
Sum25;2;1
Sum11;1;0
Sum12;1;1
Sum13;0;0
Sum14;0;1
Sum15;0;2
Sum16;2;2
Sum17;0;3
Sum18;2;3
Sum19;1;2
Sum2;1;3
Sum20;2;4
Sum21;0;4
Sum22;2;5
Sum23;2;6
Sum24;2;7
Sum1Tree4;30;5
Sum26;1;4
Sum27;1;5
Sum28;1;6
Sum29;2;8
Sum3;0;6
Sum30;0;7
Sum31;2;9
Sum4;1;7
Sum5;1;8
Sum6;0;8
Sum7;1;9
Sum8;0;9
Sum9;0;10
Y;155;0
Sum1Tree0;10;10
Sum1Tree1;15;11
Sum1Tree2;20;10
Sum1Tree3;25;11
Sum1Tree28;150;12
Sum1Tree5;35;11
Sum1Tree6;40;12
Sum1Tree7;45;13
Sum1Tree8;50;12
Sum1Tree9;55;13
Sum1Tree10;60;14
Sum1Tree11;65;13
Sum1Tree12;70;14
Sum1Tree13;75;15
Sum1Tree14;80;14
Sum1Tree15;85;15
Sum1Tree16;90;16
Sum1Tree17;95;15
Sum1Tree18;100;16
Sum1Tree19;105;17
Sum1Tree20;110;16
Sum1Tree21;115;17
Sum1Tree22;120;18
Sum1Tree23;125;17
Sum1Tree24;130;18
Sum1Tree25;135;19
Sum1Tree26;140;18
Sum1Tree27;145;19
