# II 20
# graph /home/nfiege/Repositories/hatschet/benchmarks/origami//fir_SAM.graphml
# resourceModel /home/nfiege/Repositories/experiments/trunk/rmIntII/origami//fir_SAM/RM3.xml
# vertex;cycle;fu
Constant10;0;0
Constant11;0;0
X;0;0
Constant;0;0
Constant1;0;0
Constant12;0;0
Constant13;0;0
Constant14;0;0
Constant15;0;0
Constant16;0;0
Constant17;0;0
Constant18;0;0
Constant19;0;0
Constant2;0;0
Constant20;0;0
Constant21;0;0
Constant22;0;0
Constant23;0;0
Constant24;0;0
Constant25;0;0
Constant29;0;0
Constant3;0;0
Constant32;0;0
Constant33;0;0
Constant34;0;0
Constant4;0;0
Constant5;0;0
Constant6;0;0
Constant7;0;0
Constant8;0;0
Constant9;0;0
Product;6;0
Product1;6;1
Product10;50;0
Product11;16;0
Product12;40;0
Product13;9;0
Product14;82;0
Product15;77;0
Product16;25;0
Product17;27;0
Product18;31;0
Product19;30;1
Product2;11;1
Product20;19;0
Product21;29;1
Product22;32;0
Product23;28;0
Product24;24;0
Product25;16;1
Product29;17;1
Product3;8;1
Product32;18;0
Product33;15;0
Product34;78;1
Product4;20;1
Product5;25;1
Product6;13;0
Product7;35;1
Product8;19;1
Product9;14;0
Sum10;3;0
Sum25;6;0
Sum11;14;0
Sum12;18;0
Sum13;8;0
Sum14;13;0
Sum15;4;0
Sum16;18;1
Sum17;14;1
Sum18;13;1
Sum19;19;0
Sum2;5;0
Sum20;9;0
Sum21;16;0
Sum22;3;1
Sum23;15;0
Sum24;19;1
Sum1Tree4;30;0
Sum26;14;2
Sum27;13;2
Sum28;9;1
Sum29;19;2
Sum3;4;1
Sum30;8;1
Sum31;4;2
Sum4;9;2
Sum5;8;2
Sum6;18;2
Sum7;1;0
Sum8;0;0
Sum9;3;2
Y;157;0
Sum1Tree0;10;1
Sum1Tree1;15;1
Sum1Tree2;20;1
Sum1Tree3;25;1
Sum1Tree28;152;0
Sum1Tree5;35;2
Sum1Tree6;40;2
Sum1Tree7;45;2
Sum1Tree8;50;2
Sum1Tree9;56;1
Sum1Tree10;61;1
Sum1Tree11;66;1
Sum1Tree12;71;0
Sum1Tree13;76;2
Sum1Tree14;81;2
Sum1Tree15;86;2
Sum1Tree16;91;1
Sum1Tree17;97;0
Sum1Tree18;102;0
Sum1Tree19;107;0
Sum1Tree20;112;1
Sum1Tree21;117;1
Sum1Tree22;122;1
Sum1Tree23;127;1
Sum1Tree24;132;2
Sum1Tree25;137;2
Sum1Tree26;142;2
Sum1Tree27;147;2
