# II 32
# graph /home/nfiege/Repositories/hatschet/benchmarks/origami//iir_sos16.graphml
# resourceModel /home/nfiege/Repositories/experiments/trunk/rmIntII/origami//iir_sos16/RM2.xml
# vertex;cycle;fu
Product11;16;0
Product12;30;0
Product13;11;0
In2;0;0
Product;1;0
Product1;1;1
Product10;4;0
Product14;13;0
Product15;19;0
Product16;26;0
Product17;9;0
Product18;63;0
Product19;14;0
Product2;5;0
Product20;68;1
Product21;25;0
Product22;67;0
Product23;58;1
Product24;25;1
Product25;8;0
Product26;38;0
Product27;6;1
Product28;52;0
Product29;46;1
Product3;2;0
Product30;55;0
Product31;54;0
Product32;81;0
Product33;63;1
Product34;84;1
Product35;62;1
Product36;93;0
Product37;64;0
Product38;111;0
Product39;76;0
Product4;2;1
Product40;114;0
Product41;85;0
Product42;137;1
Product43;128;1
Product44;77;1
Product45;140;1
Product46;114;1
Product47;145;1
Product48;152;0
Product49;106;0
Product5;3;1
Product50;91;0
Product51;115;1
Product52;92;0
Product53;119;1
Product54;91;1
Product55;75;1
Product56;125;1
Product57;92;1
Product58;74;1
Product59;79;1
Product6;7;0
Product60;80;1
Product61;53;1
Product62;88;1
Product63;54;1
Sum20;75;0
Product7;5;1
Product8;8;1
Product9;7;1
Sum1;20;0
Sum10;30;0
Sum11;12;0
Sum12;35;0
Sum13;22;0
Sum14;35;1
Sum15;45;0
Sum16;28;0
Sum17;60;1
Sum18;70;0
Sum19;61;0
Sum2;10;0
Sum38;97;0
Sum21;70;1
Sum22;72;0
Sum23;85;0
Sum24;78;0
Sum25;50;0
Sum26;45;1
Sum27;55;0
Sum28;30;1
Sum29;43;1
Sum3;5;0
Sum30;65;1
Sum31;56;0
Sum32;80;0
Sum33;100;0
Sum34;110;1
Sum35;95;0
Sum36;115;0
Sum37;89;0
Sum6;7;0
Sum39;125;1
Sum4;15;0
Sum40;115;1
Sum41;140;1
Sum42;150;1
Sum43;130;0
Sum44;90;0
Sum45;155;0
Sum46;144;1
Sum47;151;1
Sum48;165;1
Sum49;160;0
Sum5;10;1
Sum50;130;1
Sum51;122;1
Sum52;135;1
Sum53;111;1
Sum54;132;1
Sum55;85;1
Sum56;145;0
Sum57;137;0
Sum58;160;1
Sum59;95;1
b13;0;0
b14;0;0
Sum60;81;1
Sum61;91;1
Sum62;105;1
Sum63;84;1
Sum64;120;1
Sum7;25;1
Sum8;18;1
Sum9;40;1
a;0;0
a1;0;0
a10;0;0
a11;0;0
a12;0;0
a13;0;0
a14;0;0
a15;0;0
a2;0;0
a3;0;0
a4;0;0
a5;0;0
a6;0;0
a7;0;0
a8;0;0
a9;0;0
b;0;0
b1;0;0
b10;0;0
b11;0;0
b12;0;0
d4;0;0
d5;0;0
b15;0;0
b2;0;0
b3;0;0
b4;0;0
b5;0;0
b6;0;0
b7;0;0
b8;0;0
b9;0;0
c;0;0
c1;0;0
c10;0;0
c11;0;0
c12;0;0
c13;0;0
c14;0;0
c15;0;0
c2;0;0
c3;0;0
c4;0;0
c5;0;0
c6;0;0
c7;0;0
c8;0;0
c9;0;0
d;0;0
d1;0;0
d10;0;0
d11;0;0
d12;0;0
d13;0;0
d14;0;0
d15;0;0
d2;0;0
d3;0;0
d6;0;0
d7;0;0
d8;0;0
d9;0;0
Out2;170;0
